ticker,best_step,best_eval_excess_return_ma,trades_mean_at_best_ma_step,trades_step_used
NKE,1720320,0.19483914971351624,1.0,1720320
GS,1687552,0.07851244509220123,7.25,1687552
SHW,1327104,0.0611422173678875,1.0,1327104
AMZN,1867776,0.05972473695874214,26.75,1867776
UNH,1327104,0.055847808718681335,1.0,1327104
MRK,1998848,0.05114489048719406,2.75,1998848
MMM,1605632,0.047567714005708694,17.125,1605632
AAPL,884736,0.04655507951974869,3.0,884736
CRM,1458176,0.04459565132856369,2.375,1458176
JNJ,1409024,0.03890136629343033,1.0,1409024
MSFT,933888,0.03232043236494064,2.5,933888
QQQ,638976,0.030093137174844742,4.125,638976
NVDA,327680,0.028427477926015854,3.25,327680
AMGN,901120,0.027438128367066383,0.0,901120
DIS,1015808,0.024147531017661095,13.0,1015808
PG,901120,0.016632623970508575,0.0,901120
IBM,425984,0.015932930633425713,1.0,425984
SPY,1277952,0.013352739624679089,0.0,1277952
HON,1998848,0.013247587718069553,0.0,1998848
CAT,393216,0.009894466027617455,1.125,393216
HD,327680,0.008521328680217266,1.0,327680
KO,344064,0.00809810683131218,0.0,344064
DIA,1032192,0.007224684115499258,0.0,1032192
JPM,1884160,0.006518044974654913,6.125,1884160
VZ,1933312,0.0030528546776622534,0.0,1933312
AXP,360448,0.001160376239567995,1.0,360448
MCD,851968,0.0008046047296375036,1.25,851968
CVX,884736,-0.0009690331062301993,0.0,884736
TRV,1851392,-0.01841777190566063,0.0,1851392
WMT,360448,-0.019948098808526993,0.0,360448
CSCO,540672,-0.03047579899430275,0.0,540672
V,524288,-0.04540110379457474,4.0,524288
BA,589824,-0.0810779482126236,13.25,589824
